date,open,close,high,low,vol,amt,amp,pct,chg,turnover,ret_1d,ret_5d,ret_20d,rsi_14,macd,macd_signal,macd_hist,vol_20d,vol_sma_5,vol_ratio
2024-09-10,136.487,136.555,136.575,136.438,30735.0,425915369.0,0.1,0.09,0.118,12.31,0.0009,0.0027,0.0077,87.1571,0.2704,0.2111,0.0593,0.0149,30191.6,1.018
2024-09-11,136.556,136.762,136.779,136.553,24002.0,333183361.0,0.17,0.15,0.207,9.61,0.0015,0.0039,0.0083,86.5798,0.2997,0.2288,0.0709,0.0153,26450.4,0.9074
2024-09-12,136.762,136.547,136.808,136.544,15217.0,211198651.0,0.19,-0.16,-0.215,6.09,-0.0016,0.0017,0.0078,72.8212,0.3022,0.2435,0.0587,0.0161,22677.2,0.671
2024-09-13,136.686,136.741,136.784,136.644,14481.0,201007071.0,0.1,0.14,0.194,5.8,0.0014,0.0028,0.0094,75.8185,0.3161,0.258,0.0581,0.0164,19052.2,0.7601
2024-09-18,136.875,136.775,136.875,136.741,11386.0,158139154.0,0.1,0.02,0.034,4.56,0.0002,0.0025,0.0092,80.3561,0.3262,0.2716,0.0545,0.0164,19164.2,0.5941
2024-09-19,136.801,136.591,136.816,136.551,26325.0,365367755.0,0.19,-0.13,-0.184,10.54,-0.0013,0.0003,0.008,71.7654,0.3156,0.2804,0.0352,0.0175,18282.2,1.4399
2024-09-20,136.633,136.69,136.715,136.622,26995.0,374644194.0,0.07,0.07,0.099,10.81,0.0007,-0.0005,0.0098,76.1493,0.3117,0.2867,0.025,0.0166,18880.8,1.4298
2024-09-23,136.724,136.72,136.801,136.702,20696.0,287365284.0,0.07,0.02,0.03,8.29,0.0002,0.0013,0.008,78.2798,0.3074,0.2908,0.0166,0.0156,19976.6,1.036
2024-09-24,136.802,136.568,136.864,136.411,23423.0,325022013.0,0.33,-0.11,-0.152,9.38,-0.0011,-0.0013,0.0054,66.9664,0.2885,0.2904,-0.0019,0.0159,21765.0,1.0762
2024-09-25,136.351,136.893,136.936,136.198,17573.0,243887602.0,0.54,0.24,0.325,7.04,0.0024,0.0009,0.0077,69.558,0.2962,0.2915,0.0047,0.0175,23002.4,0.764
2024-09-26,137.037,136.786,137.037,136.726,18483.0,256839374.0,0.23,-0.08,-0.107,7.4,-0.0008,0.0014,0.0076,64.794,0.2904,0.2913,-0.0009,0.0176,21434.0,0.8623
