date,open,close,high,low,vol,amt,amp,pct,chg,turnover
2025-02-27,107.245,107.192,107.278,107.191,18966,203367677.400,0.08,-0.05,-0.053,8.80
2025-02-28,107.19,107.232,107.232,107.155,2997,32128021.936,0.07,0.04,0.040,1.39
2025-03-03,107.219,107.36,107.36,107.174,64890,695863679.000,0.17,0.12,0.128,30.12
2025-03-04,107.409,107.37,107.45,107.362,12061,129549311.600,0.08,0.01,0.010,5.60
2025-03-05,107.369,107.408,107.42,107.369,35277,378872550.600,0.05,0.04,0.038,16.38
2025-03-06,107.39,107.346,107.39,107.314,19901,213624230.400,0.07,-0.06,-0.062,9.24
2025-03-07,107.314,107.234,107.314,107.214,12899,138315538.500,0.09,-0.1,-0.112,5.99
2025-03-10,107.201,107.172,107.202,107.109,31744,340289721.250,0.09,-0.06,-0.062,14.74
2025-03-11,107.126,107.107,107.17,107.106,16525,177009615.298,0.06,-0.06,-0.065,7.67
2025-03-12,107.1,107.329,107.434,107.018,8357,89573886.400,0.39,0.21,0.222,3.88
2025-03-13,107.22,107.269,107.35,107.17,99319,1065920931.000,0.17,-0.06,-0.060,46.11
2025-03-14,107.266,107.246,107.284,107.163,10439,111916685.200,0.11,-0.02,-0.023,4.85
2025-03-17,107.204,107.245,107.259,107.194,30222,324075308.100,0.06,0.0,-0.001,14.03
2025-03-18,107.243,107.213,107.3,107.165,5908,63349369.900,0.13,-0.03,-0.032,2.74
2025-03-19,107.214,107.196,107.263,107.178,21767,233344086.300,0.08,-0.02,-0.017,10.10
2025-03-20,107.237,107.313,107.332,107.203,7542,80920723.400,0.12,0.11,0.117,3.50
2025-03-21,107.335,107.314,107.645,107.285,40992,440059480.000,0.34,0.0,0.001,19.03
2025-03-24,107.268,107.29,107.29,107.25,21681,232587613.900,0.04,-0.02,-0.024,10.06
2025-03-25,107.335,107.301,107.376,107.28,22679,243336067.020,0.09,0.01,0.011,10.53
2025-03-26,107.299,107.345,107.345,107.282,12129,130144352.700,0.06,0.04,0.044,5.63
2025-03-27,107.337,107.35,107.352,107.294,14225,152675983.500,0.05,0.0,0.005,6.60
2025-03-28,107.34,107.338,107.355,107.3,31142,334273254.164,0.05,-0.01,-0.012,14.46
2025-03-31,107.336,107.348,107.388,107.333,29415,315779665.800,0.05,0.01,0.010,13.65
2025-04-01,107.334,107.359,107.389,107.33,7938,85221282.400,0.05,0.01,0.011,3.68
2025-04-02,107.358,107.387,107.392,107.336,14507,155741817.566,0.05,0.03,0.028,6.73
2025-04-03,107.498,107.576,107.6,107.435,27316,293647446.500,0.15,0.18,0.189,12.68
2025-04-07,107.788,107.71,108.5,107.693,26208,282382757.400,0.75,0.12,0.134,12.17
2025-04-08,107.639,107.641,107.72,107.621,62221,670099088.900,0.09,-0.06,-0.069,28.88
2025-04-09,107.625,107.6,107.671,107.6,73058,786460038.900,0.07,-0.04,-0.041,33.91
2025-04-10,107.629,107.647,107.65,107.567,21558,231944160.700,0.08,0.04,0.047,10.01
2025-04-11,107.742,107.719,107.769,107.7,22681,244369821.900,0.06,0.07,0.072,10.53
2025-04-14,107.681,107.723,107.732,107.675,70124,755159265.744,0.05,0.0,0.004,32.55
2025-04-15,107.685,107.708,107.73,107.684,13732,147915219.830,0.04,-0.01,-0.015,6.37
2025-04-16,107.708,107.718,107.73,107.691,27045,291344707.428,0.04,0.01,0.010,12.55
2025-04-17,107.718,107.689,107.748,107.685,15518,167155235.900,0.06,-0.03,-0.029,7.20
2025-04-18,107.672,107.665,107.745,107.645,21097,227137231.297,0.09,-0.02,-0.024,9.79
2025-04-21,107.66,107.63,107.68,107.618,30060,323564490.500,0.06,-0.03,-0.035,13.95
2025-04-22,107.636,107.643,107.673,107.636,52833,568728989.200,0.03,0.01,0.013,24.53
